Date,Close
9/6/2018,4.57
9/7/2018,4.88
9/10/2018,4.24
9/11/2018,4.27
9/12/2018,4.06
9/13/2018,3.78
9/14/2018,3.92
9/17/2018,3.68
9/18/2018,3.99
9/19/2018,3.92
9/20/2018,3.78
9/21/2018,3.91
9/24/2018,3.77
9/25/2018,3.73
9/26/2018,3.75
9/27/2018,3.63
9/28/2018,3.43
10/1/2018,3.5
10/2/2018,3.33
10/3/2018,3
10/4/2018,3.01
10/5/2018,3.21
10/8/2018,3
10/9/2018,2.94
10/10/2018,2.81
10/11/2018,2.67
10/12/2018,2.73
10/15/2018,2.73
10/16/2018,3.05
10/17/2018,3.01
10/18/2018,2.93
10/19/2018,2.8
10/22/2018,2.66
10/23/2018,2.66
10/24/2018,2.67
10/25/2018,2.65
10/26/2018,2.8
10/29/2018,2.99
10/30/2018,2.54
10/31/2018,2.67
11/1/2018,2.8
11/2/2018,2.75
11/5/2018,2.67
11/6/2018,2.8
11/7/2018,2.93
11/8/2018,3.58
11/9/2018,3.27
11/12/2018,3.29
11/13/2018,2.98
11/14/2018,3.01
11/15/2018,2.81
11/16/2018,2.84
11/19/2018,2.92
11/20/2018,3.11
11/21/2018,2.84
11/23/2018,2.87
11/26/2018,2.71
11/27/2018,2.67
11/28/2018,2.66
11/29/2018,2.72
11/30/2018,2.7
12/3/2018,2.62
12/4/2018,2.53
12/6/2018,2.45
12/7/2018,2.47
12/10/2018,2.34
12/11/2018,2.31
12/12/2018,2.35
12/13/2018,2.51
12/14/2018,2.38
12/17/2018,2.3
12/18/2018,2.24
12/19/2018,2.24
12/20/2018,2.1
12/21/2018,2.18
12/24/2018,1.96
12/26/2018,1.89
12/27/2018,1.77
12/28/2018,1.93
12/31/2018,1.83
1/2/2019,2.1
1/3/2019,1.96
1/4/2019,2.45
